estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
mp,0.11931958172088097,0.1199002098231375,0.010924034910537958,independent,DINA,2
MAP,0.12528056121245926,0.08993940098118086,0.027641259819644697,independent,DINA,3
mp,0.1302329183616067,0.1261484608801463,0.014251384832739158,independent,DINA,3
MAP,0.14944921234273456,0.13243922605189049,0.013288857588974218,independent,DINA,4
mp,0.15562032873251969,0.16042196531693975,0.006128285118414981,independent,DINA,4
MAP,0.1355517861160152,0.07543496416688115,0.01790612257251213,independent,DINA,5
mp,0.14369879526391818,0.1272919390924501,0.012331097030994925,independent,DINA,5
MAP,NA,NA,NA,independent,DINA,6
mp,NA,NA,NA,independent,DINA,6
MAP,0.15343689825947457,0.1179102042589386,0.03058320173472618,independent,DINA,7
mp,0.1607395144812977,0.16042291319006854,0.016898991287141535,independent,DINA,7
MAP,0.1509726943465005,0.127870191386535,0.021352855200807975,independent,DINA,8
mp,0.15735484327452798,0.17069059218438667,0.02076105122952003,independent,DINA,8
MAP,0.15135468752595568,0.11848332945335238,0.017025649266623467,independent,DINA,9
mp,0.15715054785166782,0.1623262773349849,0.009297679236580847,independent,DINA,9
MAP,0.13645248180954114,0.08878040615067415,0.01165349940501324,independent,DINA,10
mp,0.14610652769220467,0.12826702050107086,0.012829891344399904,independent,DINA,10
MAP,0.1355067195328302,0.09780070856666202,0.019777369806778175,independent,DINA,11
mp,0.14273427635091335,0.1383313850693197,0.009320420694719807,independent,DINA,11
MAP,0.13641280750019774,0.10706994513114323,0.009016526144789157,independent,DINA,12
mp,0.14143210071425866,0.1419273206509046,0.005394965528428295,independent,DINA,12
MAP,0.13667890782781555,0.1101508872817073,0.014240723190301317,independent,DINA,13
mp,0.14188348734490996,0.14360781778723114,0.013070254506959733,independent,DINA,13
MAP,0.14094390187324374,0.12073178804456895,0.00827666716375616,independent,DINA,14
mp,0.14710698683573495,0.1497610492830412,0.008260317799355155,independent,DINA,14
MAP,0.14174560956832172,0.10750594912508007,0.012062965411132774,independent,DINA,15
mp,0.1491926766886661,0.14544959836871196,0.010582739190364482,independent,DINA,15
MAP,0.11946738519831945,0.08103499502866399,0.011826345962337495,independent,DINA,16
mp,0.12411726638878748,0.12061697897901562,0.004498823552951654,independent,DINA,16
MAP,0.12623546745574332,0.0757594823372262,0.024588687951085923,independent,DINA,17
mp,0.1327915275240045,0.11700856348011246,0.01769256074742527,independent,DINA,17
MAP,0.13744758561113607,0.09430461908346091,0.012930558564168085,independent,DINA,18
mp,0.14591495324699957,0.13338635078681463,0.009135635490186294,independent,DINA,18
MAP,0.13386962074286654,0.10757872304948292,0.018025356582072723,independent,DINA,19
mp,0.13929859627825478,0.14103617710183042,0.012371256133609267,independent,DINA,19
MAP,0.132088470634231,0.11792533140379223,0.011679127226947483,independent,DINA,20
mp,0.13831188108145967,0.15034052052968275,0.006031199438674423,independent,DINA,20
MAP,NA,NA,NA,independent,DINA,21
mp,NA,NA,NA,independent,DINA,21
MAP,0.13256400867169846,0.09870931302071681,0.010450082390995381,independent,DINA,22
mp,0.140455693608586,0.13694155931934557,0.0071115457290831284,independent,DINA,22
MAP,0.12117857391580213,0.04653215577668436,0.015543031163482024,independent,DINA,23
mp,0.1285525348178251,0.10980138780106105,0.006418003175178361,independent,DINA,23
MAP,0.1296209277191483,0.10106776840304561,0.015607079183857859,independent,DINA,24
mp,0.13608055019463244,0.12883096738492622,0.013476365474119513,independent,DINA,24
MAP,0.13837667909613516,0.11035595419141794,0.017157749410881214,independent,DINA,25
mp,0.14436711589285464,0.14093141869133843,0.011737085872814567,independent,DINA,25
MAP,0.13765992404475824,0.08462848035062617,0.052456090089534856,independent,DINA,26
mp,0.14388275756637048,0.11873532400016423,0.0676722248266289,independent,DINA,26
MAP,0.12904651871005798,0.09023506547651089,0.02825767005130903,independent,DINA,27
mp,0.1348834352860543,0.13847762397895433,0.011597475070786636,independent,DINA,27
MAP,0.1297113431390212,0.10704820013371728,0.02005631454303097,independent,DINA,28
mp,0.13581721033895436,0.14403508372353424,0.017704489695846256,independent,DINA,28
MAP,0.13158551312833744,0.10070093932624768,0.0054474778910766795,independent,DINA,29
mp,0.13716816345137292,0.13624120187492528,0.008100282184201316,independent,DINA,29
MAP,0.1655944856447023,0.15258197794808576,0.01581943922099636,independent,DINA,30
mp,0.17349261094750923,0.18138835043499574,0.01154926825432635,independent,DINA,30
MAP,0.1274096214640025,0.09497919908745092,0.006322737264581849,independent,DINA,31
mp,0.13401080957291123,0.12579974774857094,0.0038274498115012903,independent,DINA,31
MAP,0.13841633477401272,0.09839244928136834,0.014249932082091174,independent,DINA,32
mp,0.143935384936923,0.13773416078431572,0.007801591889809832,independent,DINA,32
MAP,0.13073150102652217,0.10934937035166042,0.017734638278376198,independent,DINA,33
