estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.017017084907128034,-2.9717702288448926e-4,0.012175775049336205,linear,GDINA,93
mp,0.019805378631292878,0.023071802779889117,0.009451530346121534,linear,GDINA,93
MAP,0.027225549647071242,0.014317670807639822,0.011890197385064015,linear,GDINA,94
mp,0.030673594764568195,0.03336866947606797,0.004980679824190694,linear,GDINA,94
MAP,0.03311992830822542,0.013741833774354084,0.009417104601624461,linear,GDINA,95
mp,0.03863111630256839,0.03733317422059324,0.0070189931522183675,linear,GDINA,95
MAP,0.029190616408402495,0.018863942187888918,0.009744364634426747,linear,GDINA,96
mp,0.0326730668879355,0.033254918818471646,0.00859393523741884,linear,GDINA,96
MAP,0.028751735756855728,0.025773187666532024,0.005355803246920611,linear,GDINA,97
mp,0.03478710695538698,0.03562047436893991,0.0037943221854962956,linear,GDINA,97
MAP,0.029046652434348015,0.026249524013078115,0.0033740198666913977,linear,GDINA,98
mp,0.034203456091789784,0.03651258431270719,0.0024980650667949214,linear,GDINA,98
MAP,0.03710253690201538,0.03549679396115533,0.00834058296102198,linear,GDINA,99
mp,0.041983096439125386,0.046756907392926914,0.004827031249473384,linear,GDINA,99
MAP,0.028936655687676335,0.014213527030279342,0.007758216968117868,linear,GDINA,100
mp,0.03424606271042407,0.032698757046080926,0.0028763231153038004,linear,GDINA,100
MAP,0.17681984975930604,0.10254616482188934,0.012323937397406727,independent,GDINA,1
mp,0.18899764138956812,0.16852824983929393,0.009986134717735578,independent,GDINA,1
MAP,0.1740041273636073,0.086171356480787345,0.0447751320650624,independent,GDINA,2
mp,0.18282389891764372,0.17635680179532784,0.01090011256472736,independent,GDINA,2
MAP,0.17652053956065575,0.10726250672871153,0.03442994867264764,independent,GDINA,3
mp,0.1876986899599095,0.18134377774761215,0.015262852437734887,independent,GDINA,3
